도서관명,도서명,저자,출판사,출판연도,데이터기준일
가양도서관,막스와 마르셀,"메테니에, 알리스",책빛,2017,2022-03-31
가양도서관,(어린이도 부모님도 알아야 할)코딩하기 전 코딩책 : 코딩 기술을 배우기 전에 먼저 보는 진짜 코딩 교양,박준석,동아시아사이언스,2021,2022-03-31
가양도서관,(혼자서도 척척)초등 코딩 인공지능 무작정 따라하기 with 엔트리,주희정,길벗,2021,2022-03-31
가양도서관,(혼자서도 척척)초등 코딩 스크래치 무작정 따라하기,전현희,길벗,2019,2022-03-31
가양도서관,(어린이가 알아야 할)가짜 뉴스와 미디어 리터러시,채화영,팜파스,2020,2022-03-31
가양도서관,가짜뉴스는 위험해 : 슬기로운 어린이를 위한 미디어 리터러시 수업,김창룡,봄나무,2021,2022-03-31
가양도서관,돈은 어디에서 자랄까? : 아이가 처음 돈을 쓸 때부터 배우는 경제 개념,"마스카로, 라우라",생각의날개,2020,2022-03-31
가양도서관,뉴스 좀 제대로 알고 싶다고?,강로사,개암나무,2021,2022-03-31
가양도서관,나라에 일이 생기면 누가 해결하지? : 정부 기관과 하는 일,서지원,마음이음,2020,2022-03-31
가양도서관,나도 투표했어!,"슐먼, 마크",토토북,2020,2022-03-31
가양도서관,군대 없는 나라 전쟁 없는 세상 : 전쟁은 왜 일어날까? 누가 전쟁을 일으키고 있을까?,김재명,나무야,2019,2022-03-31
가양도서관,초등학생을 위한 똑똑한 돈 설명서,"시르데슈판드, 라슈미",솔빛길,2021,2022-03-31
가양도서관,옛이야기로 만나는 법 이야기 : 정의롭고 행복한 진짜 결말을 찾아서,신주영,꿈초,2019,2022-03-31
가양도서관,"민주 시민 학교 . 2 , 환경·기술·미디어 편",오승현,휴먼어린이,2021,2022-03-31
가양도서관,"민주 시민 학교 . 1 , 사회·정치·경제 편",오승현,휴먼어린이,2021,2022-03-31
가양도서관,미미네 점방으로 놀러오세요! : 생활 속 사회 이야기,서해경,아르볼,2020,2022-03-31
가양도서관,못난이 채소 크롬꼬머 : 지구를 힘나게 하는 SDG 이야기,이성희,한권의책,2021,2022-03-31
가양도서관,블루버드,"스택, 밥",우리동네책공장,2021,2022-03-31
가양도서관,불을 꺼 주세요,"아널드, 마샤 다이앤",푸른숲주니어,2021,2022-03-31
가양도서관,총칼로 빼앗을 수 없는 것 : 조선어 학회 편,김기정,한권의책,2021,2022-03-31
가양도서관,초원의 명탐정 몽구리,양자현,천개의바람,2020,2022-03-31
가양도서관,청동 활,"스피어, 엘리자베스 조지",문학과지성사,2014,2022-03-31
가양도서관,"천둥아, 내 외침을 들어라!","테일러, 밀드레드 D.",내인생의책,2010,2022-03-31
가양도서관,차일드폴 = Child Politics,이병승,서유재,2021,2022-03-31
가양도서관,애국자가 없는 세상 : 권정생 시,권정생,보리,2021,2022-03-31
가양도서관,지구는 고양이들이 지킨다,박정안,씨드북,2021,2022-03-31
가양도서관,저 책은 절대 읽으면 안돼!,임지형,미래엔아이세움,2021,2022-03-31
가양도서관,일곱 번째 노란 벤치 : 은영 장편동화,은영,비룡소,2021,2022-03-31
가양도서관,일 년 전 로드 뷰 : 전성현 장편동화,전성현,별숲,2021,2022-03-31
가양도서관,우리가 뭐 어때서?!,"로메로, 페드로 마냐스",라임,2020,2022-03-31
가양도서관,아주 머나먼 곳,"샌닥, 모리스",시공주니어,2014,2022-03-31
